id,group,latency_ms
1,X25519,53.65
2,X25519,28.66
3,X25519,31.90
4,X25519,25.79
5,X25519,25.13
6,X25519,33.26
7,X25519,18.33
8,X25519,31.46
9,X25519,31.25
10,X25519,32.92
11,X25519,25.39
12,X25519,37.74
13,X25519,31.01
14,X25519,26.16
15,X25519,25.38
16,X25519,25.10
17,X25519,24.45
18,X25519,24.54
19,X25519,45.89
20,X25519,36.33
21,X25519,30.38
22,X25519,40.60
23,X25519,51.48
24,X25519,31.59
25,X25519,31.59
26,X25519,31.95
27,X25519,36.27
28,X25519,32.93
29,X25519,33.33
30,X25519,32.32
31,X25519,27.54
32,X25519,47.13
33,X25519,28.96
34,X25519,46.96
35,X25519,28.79
36,X25519,32.63
37,X25519,33.08
38,X25519,38.10
39,X25519,35.53
40,X25519,33.16
41,X25519,25.15
42,X25519,32.37
43,X25519,24.32
44,X25519,32.26
45,X25519,31.40
46,X25519,26.03
47,X25519,30.86
48,X25519,28.81
49,X25519,26.87
50,X25519,31.40
51,X25519,36.36
52,X25519,30.81
53,X25519,34.14
54,X25519,24.88
55,X25519,40.10
56,X25519,21.54
57,X25519,22.17
58,X25519,27.87
59,X25519,22.86
60,X25519,31.08
61,X25519,27.97
62,X25519,33.97
63,X25519,42.07
64,X25519,26.56
65,X25519,30.28
66,X25519,48.31
67,X25519,35.26
68,X25519,26.69
69,X25519,26.16
70,X25519,21.16
71,X25519,25.43
72,X25519,25.24
73,X25519,42.73
74,X25519,31.98
75,X25519,34.36
76,X25519,47.19
77,X25519,37.52
78,X25519,30.02
79,X25519,20.30
80,X25519,21.94
81,X25519,28.00
82,X25519,27.06
83,X25519,20.16
84,X25519,25.16
85,X25519,13.77
86,X25519,12.75
87,X25519,12.10
88,X25519,14.77
89,X25519,27.58
90,X25519,31.49
91,X25519,35.40
92,X25519,24.75
93,X25519,35.28
94,X25519,34.58
95,X25519,28.53
96,X25519,29.20
97,X25519,39.92
98,X25519,32.32
99,X25519,33.05
100,X25519,27.53
101,X25519,55.69
102,X25519,26.06
103,X25519,33.06
104,X25519,29.38
105,X25519,32.17
106,X25519,36.58
107,X25519,45.78
108,X25519,36.96
109,X25519,26.02
110,X25519,48.80
111,X25519,36.15
112,X25519,53.15
113,X25519,41.45
114,X25519,41.93
115,X25519,30.14
116,X25519,38.25
117,X25519,39.27
118,X25519,34.31
119,X25519,41.89
120,X25519,53.52
121,X25519,40.53
122,X25519,27.65
123,X25519,76.03
124,X25519,34.00
125,X25519,32.10
126,X25519,27.72
127,X25519,41.43
128,X25519,35.21
129,X25519,51.51
130,X25519,45.63
131,X25519,19.53
132,X25519,50.37
133,X25519,28.92
134,X25519,41.72
135,X25519,34.25
136,X25519,34.53
137,X25519,43.79
138,X25519,19.86
139,X25519,27.26
140,X25519,23.26
141,X25519,22.71
142,X25519,33.58
143,X25519,31.94
144,X25519,31.41
145,X25519,33.21
146,X25519,33.13
147,X25519,28.51
148,X25519,29.63
149,X25519,41.33
150,X25519,30.88
151,X25519,32.27
152,X25519,30.01
153,X25519,27.35
154,X25519,28.16
155,X25519,40.02
156,X25519,33.70
157,X25519,49.36
158,X25519,27.25
159,X25519,33.46
160,X25519,24.99
161,X25519,24.89
162,X25519,25.50
163,X25519,22.98
164,X25519,31.86
165,X25519,26.62
166,X25519,27.82
167,X25519,29.85
168,X25519,36.52
169,X25519,35.88
170,X25519,27.14
171,X25519,25.89
172,X25519,23.74
173,X25519,28.22
174,X25519,26.19
175,X25519,39.27
176,X25519,23.12
177,X25519,26.49
178,X25519,28.44
179,X25519,31.50
180,X25519,24.86
181,X25519,20.94
182,X25519,15.14
183,X25519,41.63
184,X25519,22.12
185,X25519,32.66
186,X25519,17.14
187,X25519,14.89
188,X25519,15.39
189,X25519,18.83
190,X25519,21.39
191,X25519,23.95
192,X25519,23.75
193,X25519,21.25
194,X25519,23.08
195,X25519,22.66
196,X25519,26.07
197,X25519,24.23
198,X25519,21.18
199,X25519,28.95
200,X25519,26.69
201,X25519,19.57
202,X25519,17.28
203,X25519,28.17
204,X25519,17.58
205,X25519,19.07
206,X25519,19.14
207,X25519,22.67
208,X25519,21.39
209,X25519,34.80
210,X25519,34.40
211,X25519,35.47
212,X25519,30.13
213,X25519,27.38
214,X25519,26.64
215,X25519,18.07
216,X25519,16.61
217,X25519,24.53
218,X25519,28.91
219,X25519,26.73
220,X25519,28.01
221,X25519,22.03
222,X25519,18.45
223,X25519,17.98
224,X25519,22.89
225,X25519,28.09
226,X25519,22.66
227,X25519,17.29
228,X25519,19.47
229,X25519,22.22
230,X25519,21.88
231,X25519,20.69
232,X25519,20.16
233,X25519,22.85
234,X25519,26.39
235,X25519,22.21
236,X25519,16.98
237,X25519,21.34
238,X25519,17.48
239,X25519,25.39
240,X25519,16.05
241,X25519,20.24
242,X25519,19.42
243,X25519,23.65
244,X25519,21.75
245,X25519,19.04
246,X25519,13.75
247,X25519,22.66
248,X25519,26.43
249,X25519,26.34
250,X25519,20.73
251,X25519,31.31
252,X25519,29.26
253,X25519,25.32
254,X25519,17.53
255,X25519,15.69
256,X25519,28.28
257,X25519,28.27
258,X25519,16.47
259,X25519,15.22
260,X25519,16.82
261,X25519,15.67
262,X25519,19.30
263,X25519,14.63
264,X25519,16.13
265,X25519,16.09
266,X25519,15.62
267,X25519,16.03
268,X25519,14.23
269,X25519,18.45
270,X25519,16.38
271,X25519,16.64
272,X25519,22.06
273,X25519,17.60
274,X25519,15.60
275,X25519,20.39
276,X25519,30.07
277,X25519,15.90
278,X25519,24.16
279,X25519,15.41
280,X25519,14.42
281,X25519,13.12
282,X25519,18.76
283,X25519,13.84
284,X25519,15.05
285,X25519,24.34
286,X25519,25.11
287,X25519,18.93
288,X25519,21.52
289,X25519,15.90
290,X25519,20.15
291,X25519,13.91
292,X25519,16.86
293,X25519,28.66
294,X25519,22.57
295,X25519,21.28
