id,group,latency_ms
1,x25519_bikel1,50.85
2,x25519_bikel1,36.87
3,x25519_bikel1,45.39
4,x25519_bikel1,36.70
5,x25519_bikel1,52.59
6,x25519_bikel1,40.66
7,x25519_bikel1,42.26
8,x25519_bikel1,39.11
9,x25519_bikel1,58.81
10,x25519_bikel1,46.14
11,x25519_bikel1,46.32
12,x25519_bikel1,57.70
13,x25519_bikel1,35.27
14,x25519_bikel1,58.90
15,x25519_bikel1,41.79
16,x25519_bikel1,52.26
17,x25519_bikel1,36.08
18,x25519_bikel1,44.63
19,x25519_bikel1,41.81
20,x25519_bikel1,41.01
21,x25519_bikel1,64.95
22,x25519_bikel1,50.19
23,x25519_bikel1,65.79
24,x25519_bikel1,65.23
25,x25519_bikel1,63.45
26,x25519_bikel1,82.15
27,x25519_bikel1,47.48
28,x25519_bikel1,61.40
29,x25519_bikel1,61.60
30,x25519_bikel1,48.25
31,x25519_bikel1,50.29
32,x25519_bikel1,72.29
33,x25519_bikel1,53.69
34,x25519_bikel1,43.63
35,x25519_bikel1,41.52
36,x25519_bikel1,37.19
37,x25519_bikel1,54.58
38,x25519_bikel1,60.06
39,x25519_bikel1,37.88
40,x25519_bikel1,54.44
41,x25519_bikel1,65.44
42,x25519_bikel1,49.16
43,x25519_bikel1,58.94
44,x25519_bikel1,49.56
45,x25519_bikel1,49.01
46,x25519_bikel1,48.86
47,x25519_bikel1,46.85
48,x25519_bikel1,67.29
49,x25519_bikel1,54.42
50,x25519_bikel1,42.51
51,x25519_bikel1,71.10
52,x25519_bikel1,55.11
53,x25519_bikel1,68.17
54,x25519_bikel1,67.55
55,x25519_bikel1,67.36
56,x25519_bikel1,59.91
57,x25519_bikel1,50.89
58,x25519_bikel1,44.59
59,x25519_bikel1,67.28
60,x25519_bikel1,94.18
61,x25519_bikel1,44.33
62,x25519_bikel1,39.08
63,x25519_bikel1,39.24
64,x25519_bikel1,38.35
65,x25519_bikel1,62.25
66,x25519_bikel1,68.79
67,x25519_bikel1,53.55
68,x25519_bikel1,64.18
69,x25519_bikel1,70.02
70,x25519_bikel1,73.92
71,x25519_bikel1,52.66
72,x25519_bikel1,62.07
73,x25519_bikel1,69.49
74,x25519_bikel1,66.44
75,x25519_bikel1,65.65
76,x25519_bikel1,52.31
77,x25519_bikel1,55.74
78,x25519_bikel1,80.75
79,x25519_bikel1,44.29
80,x25519_bikel1,49.54
81,x25519_bikel1,41.78
82,x25519_bikel1,87.57
83,x25519_bikel1,53.32
84,x25519_bikel1,60.78
85,x25519_bikel1,45.44
86,x25519_bikel1,46.71
87,x25519_bikel1,49.41
88,x25519_bikel1,55.56
89,x25519_bikel1,50.95
90,x25519_bikel1,48.83
91,x25519_bikel1,45.01
92,x25519_bikel1,55.75
93,x25519_bikel1,57.05
94,x25519_bikel1,52.76
95,x25519_bikel1,81.14
96,x25519_bikel1,90.74
97,x25519_bikel1,39.41
98,x25519_bikel1,55.75
99,x25519_bikel1,36.47
100,x25519_bikel1,63.46
101,x25519_bikel1,45.53
102,x25519_bikel1,39.10
103,x25519_bikel1,49.74
104,x25519_bikel1,62.06
105,x25519_bikel1,48.51
106,x25519_bikel1,46.80
107,x25519_bikel1,39.12
108,x25519_bikel1,51.80
109,x25519_bikel1,58.26
110,x25519_bikel1,62.98
111,x25519_bikel1,59.91
112,x25519_bikel1,60.67
113,x25519_bikel1,42.90
114,x25519_bikel1,63.53
115,x25519_bikel1,40.89
116,x25519_bikel1,61.97
117,x25519_bikel1,49.31
118,x25519_bikel1,61.75
119,x25519_bikel1,60.27
120,x25519_bikel1,39.80
121,x25519_bikel1,51.77
122,x25519_bikel1,33.44
123,x25519_bikel1,40.67
124,x25519_bikel1,51.39
125,x25519_bikel1,57.28
126,x25519_bikel1,43.01
127,x25519_bikel1,74.51
128,x25519_bikel1,48.01
129,x25519_bikel1,40.28
130,x25519_bikel1,44.95
131,x25519_bikel1,40.56
132,x25519_bikel1,45.12
133,x25519_bikel1,47.39
134,x25519_bikel1,52.46
135,x25519_bikel1,52.54
