id,group,latency_ms
1,mlkem768,50.31
2,mlkem768,62.12
3,mlkem768,57.83
4,mlkem768,62.19
5,mlkem768,57.97
6,mlkem768,54.05
7,mlkem768,54.78
8,mlkem768,57.19
9,mlkem768,175.89
10,mlkem768,58.29
11,mlkem768,67.78
12,mlkem768,56.93
13,mlkem768,58.94
14,mlkem768,50.65
15,mlkem768,76.52
16,mlkem768,53.10
17,mlkem768,64.85
18,mlkem768,55.10
19,mlkem768,58.04
20,mlkem768,57.17
21,mlkem768,63.25
22,mlkem768,67.63
23,mlkem768,68.29
24,mlkem768,61.89
25,mlkem768,71.54
26,mlkem768,55.46
27,mlkem768,68.44
28,mlkem768,51.28
29,mlkem768,58.21
30,mlkem768,48.12
31,mlkem768,62.13
32,mlkem768,54.75
33,mlkem768,52.07
34,mlkem768,53.04
35,mlkem768,58.59
36,mlkem768,57.70
37,mlkem768,55.78
38,mlkem768,87.45
39,mlkem768,63.13
40,mlkem768,67.64
41,mlkem768,54.96
42,mlkem768,53.97
43,mlkem768,49.59
44,mlkem768,60.21
45,mlkem768,52.89
46,mlkem768,69.94
47,mlkem768,51.02
48,mlkem768,58.70
49,mlkem768,59.08
50,mlkem768,62.37
51,mlkem768,62.23
52,mlkem768,61.93
53,mlkem768,69.11
54,mlkem768,62.97
55,mlkem768,51.42
56,mlkem768,71.62
57,mlkem768,58.38
58,mlkem768,67.79
59,mlkem768,55.02
60,mlkem768,64.61
61,mlkem768,60.30
62,mlkem768,60.81
63,mlkem768,53.51
64,mlkem768,131.05
65,mlkem768,56.64
66,mlkem768,55.92
67,mlkem768,55.84
68,mlkem768,52.46
69,mlkem768,58.06
70,mlkem768,58.48
71,mlkem768,50.68
72,mlkem768,61.43
73,mlkem768,55.86
74,mlkem768,60.72
75,mlkem768,62.00
76,mlkem768,106.18
77,mlkem768,60.22
78,mlkem768,53.29
79,mlkem768,69.04
80,mlkem768,83.17
81,mlkem768,84.38
82,mlkem768,70.22
83,mlkem768,65.51
84,mlkem768,58.43
85,mlkem768,63.81
86,mlkem768,52.43
87,mlkem768,78.86
88,mlkem768,59.59
89,mlkem768,58.87
90,mlkem768,72.26
91,mlkem768,54.09
92,mlkem768,66.54
93,mlkem768,55.47
94,mlkem768,112.25
95,mlkem768,63.24
96,mlkem768,72.19
97,mlkem768,64.57
98,mlkem768,62.09
99,mlkem768,63.91
100,mlkem768,69.20
101,mlkem768,54.52
102,mlkem768,57.37
103,mlkem768,49.65
104,mlkem768,58.37
105,mlkem768,49.68
106,mlkem768,60.69
107,mlkem768,48.10
108,mlkem768,64.60
109,mlkem768,75.62
110,mlkem768,76.66
111,mlkem768,52.17
112,mlkem768,55.04
113,mlkem768,70.82
114,mlkem768,56.32
115,mlkem768,58.59
116,mlkem768,63.08
117,mlkem768,55.84
118,mlkem768,66.10
119,mlkem768,58.18
120,mlkem768,55.77
121,mlkem768,56.59
122,mlkem768,49.81
123,mlkem768,54.99
124,mlkem768,49.34
125,mlkem768,59.10
126,mlkem768,66.35
127,mlkem768,56.65
128,mlkem768,61.18
129,mlkem768,67.08
130,mlkem768,60.87
131,mlkem768,58.24
132,mlkem768,52.73
133,mlkem768,55.03
134,mlkem768,53.91
135,mlkem768,62.22
136,mlkem768,78.20
137,mlkem768,66.40
138,mlkem768,55.04
139,mlkem768,54.50
140,mlkem768,60.10
141,mlkem768,61.17
142,mlkem768,58.99
143,mlkem768,64.26
144,mlkem768,59.34
145,mlkem768,61.56
146,mlkem768,60.07
147,mlkem768,50.12
148,mlkem768,64.05
149,mlkem768,62.70
150,mlkem768,65.78
151,mlkem768,63.57
152,mlkem768,73.12
153,mlkem768,60.98
154,mlkem768,61.79
155,mlkem768,59.92
156,mlkem768,65.02
157,mlkem768,62.08
158,mlkem768,62.52
159,mlkem768,58.56
160,mlkem768,55.59
161,mlkem768,56.09
162,mlkem768,59.27
163,mlkem768,66.19
164,mlkem768,57.70
165,mlkem768,64.88
166,mlkem768,62.84
167,mlkem768,60.92
168,mlkem768,65.28
169,mlkem768,53.98
170,mlkem768,67.19
171,mlkem768,62.54
172,mlkem768,68.86
173,mlkem768,51.76
174,mlkem768,67.07
175,mlkem768,56.55
176,mlkem768,86.60
177,mlkem768,61.51
178,mlkem768,64.17
179,mlkem768,64.86
180,mlkem768,63.42
181,mlkem768,51.74
182,mlkem768,70.22
183,mlkem768,51.30
184,mlkem768,56.72
185,mlkem768,60.59
186,mlkem768,65.80
187,mlkem768,64.33
188,mlkem768,77.82
189,mlkem768,58.35
190,mlkem768,54.95
191,mlkem768,62.49
192,mlkem768,64.02
193,mlkem768,61.79
194,mlkem768,57.56
195,mlkem768,56.66
196,mlkem768,63.02
197,mlkem768,65.44
198,mlkem768,74.67
199,mlkem768,64.60
200,mlkem768,79.37
201,mlkem768,69.21
202,mlkem768,64.00
203,mlkem768,52.92
204,mlkem768,65.50
205,mlkem768,59.09
206,mlkem768,51.84
207,mlkem768,60.66
208,mlkem768,69.60
209,mlkem768,62.20
210,mlkem768,52.78
211,mlkem768,60.51
212,mlkem768,62.96
213,mlkem768,60.10
214,mlkem768,74.30
215,mlkem768,58.63
216,mlkem768,56.54
217,mlkem768,68.30
218,mlkem768,59.96
219,mlkem768,56.44
220,mlkem768,57.37
221,mlkem768,56.52
222,mlkem768,57.20
223,mlkem768,65.45
224,mlkem768,58.75
