id,group,latency_ms
1,mlkem768,31.71
2,mlkem768,12.33
3,mlkem768,18.17
4,mlkem768,12.35
5,mlkem768,15.23
6,mlkem768,13.09
7,mlkem768,17.15
8,mlkem768,17.42
9,mlkem768,15.46
10,mlkem768,19.93
11,mlkem768,14.02
12,mlkem768,21.20
13,mlkem768,18.74
14,mlkem768,17.18
15,mlkem768,28.23
16,mlkem768,24.09
17,mlkem768,14.61
18,mlkem768,26.05
19,mlkem768,17.17
20,mlkem768,23.13
21,mlkem768,17.38
22,mlkem768,22.28
23,mlkem768,20.86
24,mlkem768,16.20
25,mlkem768,23.60
26,mlkem768,22.07
27,mlkem768,18.81
28,mlkem768,22.56
29,mlkem768,16.57
30,mlkem768,13.96
31,mlkem768,14.35
32,mlkem768,31.30
33,mlkem768,17.53
34,mlkem768,16.47
35,mlkem768,20.20
36,mlkem768,22.47
37,mlkem768,13.40
38,mlkem768,13.55
39,mlkem768,18.35
40,mlkem768,14.78
41,mlkem768,14.94
42,mlkem768,17.67
43,mlkem768,19.87
44,mlkem768,25.23
45,mlkem768,21.59
46,mlkem768,20.00
47,mlkem768,20.10
48,mlkem768,22.96
49,mlkem768,16.62
50,mlkem768,26.68
51,mlkem768,16.15
52,mlkem768,24.81
53,mlkem768,15.40
54,mlkem768,23.39
55,mlkem768,22.03
56,mlkem768,17.36
57,mlkem768,15.02
58,mlkem768,13.22
59,mlkem768,20.32
60,mlkem768,14.62
61,mlkem768,20.58
62,mlkem768,16.28
63,mlkem768,16.30
64,mlkem768,15.41
65,mlkem768,22.83
66,mlkem768,22.48
67,mlkem768,32.63
68,mlkem768,17.79
69,mlkem768,27.23
70,mlkem768,28.83
71,mlkem768,28.15
72,mlkem768,24.11
73,mlkem768,23.71
74,mlkem768,18.53
75,mlkem768,18.39
76,mlkem768,23.34
77,mlkem768,15.33
78,mlkem768,24.59
79,mlkem768,17.36
80,mlkem768,17.94
81,mlkem768,16.52
82,mlkem768,15.06
83,mlkem768,15.40
84,mlkem768,12.99
85,mlkem768,14.79
86,mlkem768,21.93
87,mlkem768,21.15
88,mlkem768,15.60
89,mlkem768,21.09
90,mlkem768,18.30
91,mlkem768,15.10
92,mlkem768,14.37
93,mlkem768,14.14
94,mlkem768,13.46
95,mlkem768,16.26
96,mlkem768,17.55
97,mlkem768,21.35
98,mlkem768,15.87
99,mlkem768,18.95
100,mlkem768,32.21
101,mlkem768,27.06
102,mlkem768,22.59
103,mlkem768,26.24
104,mlkem768,20.87
105,mlkem768,17.36
106,mlkem768,19.83
107,mlkem768,19.42
108,mlkem768,12.57
109,mlkem768,13.26
110,mlkem768,19.27
111,mlkem768,13.64
112,mlkem768,14.60
113,mlkem768,21.37
114,mlkem768,19.35
115,mlkem768,19.36
116,mlkem768,12.14
117,mlkem768,24.35
118,mlkem768,15.89
119,mlkem768,19.65
120,mlkem768,18.16
121,mlkem768,18.74
122,mlkem768,14.75
123,mlkem768,17.58
124,mlkem768,17.21
125,mlkem768,15.60
126,mlkem768,15.58
127,mlkem768,17.68
128,mlkem768,12.68
129,mlkem768,16.71
130,mlkem768,17.31
131,mlkem768,18.05
132,mlkem768,15.79
133,mlkem768,19.59
134,mlkem768,29.71
135,mlkem768,25.63
136,mlkem768,19.01
137,mlkem768,27.45
138,mlkem768,17.23
139,mlkem768,20.23
140,mlkem768,16.61
141,mlkem768,14.34
142,mlkem768,13.49
143,mlkem768,20.81
144,mlkem768,18.86
145,mlkem768,15.09
146,mlkem768,13.62
147,mlkem768,12.70
148,mlkem768,24.36
149,mlkem768,20.89
150,mlkem768,35.03
151,mlkem768,24.84
152,mlkem768,21.75
153,mlkem768,16.04
154,mlkem768,18.95
155,mlkem768,27.27
156,mlkem768,23.02
157,mlkem768,16.25
158,mlkem768,20.36
159,mlkem768,16.16
160,mlkem768,17.03
161,mlkem768,17.20
162,mlkem768,15.49
163,mlkem768,16.59
164,mlkem768,17.95
165,mlkem768,18.90
166,mlkem768,18.48
