id,group,latency_ms
1,x25519_bikel1,29.04
2,x25519_bikel1,33.12
3,x25519_bikel1,22.60
4,x25519_bikel1,19.07
5,x25519_bikel1,19.65
6,x25519_bikel1,22.14
7,x25519_bikel1,22.23
8,x25519_bikel1,23.08
9,x25519_bikel1,23.10
10,x25519_bikel1,21.83
11,x25519_bikel1,19.80
12,x25519_bikel1,19.13
13,x25519_bikel1,22.14
14,x25519_bikel1,19.91
15,x25519_bikel1,17.85
16,x25519_bikel1,19.99
17,x25519_bikel1,38.63
18,x25519_bikel1,14.33
19,x25519_bikel1,22.52
20,x25519_bikel1,17.20
21,x25519_bikel1,24.32
22,x25519_bikel1,26.93
23,x25519_bikel1,31.69
24,x25519_bikel1,22.05
25,x25519_bikel1,26.31
26,x25519_bikel1,27.15
27,x25519_bikel1,18.65
28,x25519_bikel1,38.00
29,x25519_bikel1,26.79
30,x25519_bikel1,31.13
31,x25519_bikel1,24.75
32,x25519_bikel1,14.48
33,x25519_bikel1,28.18
34,x25519_bikel1,22.46
35,x25519_bikel1,25.53
36,x25519_bikel1,17.64
37,x25519_bikel1,19.79
38,x25519_bikel1,23.01
39,x25519_bikel1,13.08
40,x25519_bikel1,16.70
41,x25519_bikel1,17.04
42,x25519_bikel1,19.50
43,x25519_bikel1,13.68
44,x25519_bikel1,17.39
45,x25519_bikel1,17.24
46,x25519_bikel1,22.76
47,x25519_bikel1,31.65
48,x25519_bikel1,22.01
49,x25519_bikel1,15.01
50,x25519_bikel1,14.41
51,x25519_bikel1,16.13
52,x25519_bikel1,21.02
53,x25519_bikel1,14.96
54,x25519_bikel1,19.45
55,x25519_bikel1,19.81
56,x25519_bikel1,22.85
57,x25519_bikel1,24.20
58,x25519_bikel1,19.74
59,x25519_bikel1,17.90
60,x25519_bikel1,19.21
61,x25519_bikel1,34.17
62,x25519_bikel1,27.38
63,x25519_bikel1,21.01
64,x25519_bikel1,27.60
65,x25519_bikel1,18.62
66,x25519_bikel1,29.36
67,x25519_bikel1,27.23
68,x25519_bikel1,31.13
69,x25519_bikel1,26.33
70,x25519_bikel1,16.46
71,x25519_bikel1,15.55
72,x25519_bikel1,13.53
73,x25519_bikel1,15.77
74,x25519_bikel1,19.39
75,x25519_bikel1,27.74
76,x25519_bikel1,13.81
77,x25519_bikel1,17.59
78,x25519_bikel1,25.75
79,x25519_bikel1,15.38
80,x25519_bikel1,16.27
81,x25519_bikel1,17.77
82,x25519_bikel1,14.03
83,x25519_bikel1,32.07
84,x25519_bikel1,20.08
85,x25519_bikel1,20.36
86,x25519_bikel1,31.39
87,x25519_bikel1,29.53
88,x25519_bikel1,18.25
89,x25519_bikel1,21.26
90,x25519_bikel1,18.58
91,x25519_bikel1,14.96
