id,group,latency_ms
1,X25519,67.76
2,X25519,63.38
3,X25519,58.72
4,X25519,65.52
5,X25519,56.28
6,X25519,57.51
7,X25519,64.38
8,X25519,54.61
9,X25519,55.40
10,X25519,56.77
11,X25519,53.66
12,X25519,61.75
13,X25519,70.68
14,X25519,67.72
15,X25519,60.33
16,X25519,61.77
17,X25519,54.51
18,X25519,54.44
19,X25519,49.73
20,X25519,55.06
21,X25519,55.13
22,X25519,56.69
23,X25519,56.45
24,X25519,64.50
25,X25519,48.67
26,X25519,52.08
27,X25519,60.40
28,X25519,65.34
29,X25519,60.99
30,X25519,67.08
31,X25519,55.55
32,X25519,69.98
33,X25519,58.92
34,X25519,91.80
35,X25519,65.90
36,X25519,53.30
37,X25519,55.57
38,X25519,56.62
39,X25519,72.16
40,X25519,74.01
41,X25519,47.87
42,X25519,92.89
43,X25519,62.41
44,X25519,51.54
45,X25519,66.16
46,X25519,54.34
47,X25519,64.88
48,X25519,61.47
49,X25519,58.11
50,X25519,66.50
51,X25519,53.15
52,X25519,72.64
53,X25519,55.20
54,X25519,57.25
55,X25519,53.27
56,X25519,59.20
57,X25519,62.35
58,X25519,58.13
59,X25519,63.57
60,X25519,59.19
61,X25519,62.83
62,X25519,58.09
63,X25519,54.76
64,X25519,69.46
65,X25519,54.77
66,X25519,56.95
67,X25519,49.14
68,X25519,47.05
69,X25519,48.39
70,X25519,58.88
71,X25519,60.35
72,X25519,71.99
73,X25519,53.76
74,X25519,57.95
75,X25519,57.81
76,X25519,51.77
77,X25519,59.57
78,X25519,49.28
79,X25519,63.36
80,X25519,59.35
81,X25519,55.18
82,X25519,57.18
83,X25519,55.11
84,X25519,55.80
85,X25519,56.56
86,X25519,59.60
87,X25519,58.74
88,X25519,73.87
89,X25519,66.79
90,X25519,60.10
91,X25519,52.94
92,X25519,64.60
93,X25519,57.21
94,X25519,65.09
95,X25519,57.42
96,X25519,55.96
97,X25519,53.46
98,X25519,59.38
99,X25519,83.61
100,X25519,55.08
101,X25519,77.88
102,X25519,65.92
103,X25519,63.71
104,X25519,70.64
105,X25519,50.77
106,X25519,57.54
107,X25519,51.65
108,X25519,62.69
109,X25519,62.87
110,X25519,55.13
111,X25519,51.99
112,X25519,55.75
113,X25519,59.30
114,X25519,81.90
115,X25519,58.43
116,X25519,56.13
117,X25519,58.83
118,X25519,55.64
119,X25519,77.62
120,X25519,55.94
121,X25519,52.39
122,X25519,52.66
123,X25519,66.02
124,X25519,51.64
125,X25519,55.85
126,X25519,58.06
127,X25519,69.52
128,X25519,55.86
129,X25519,54.38
130,X25519,51.78
131,X25519,48.51
132,X25519,55.55
133,X25519,60.17
134,X25519,57.49
135,X25519,55.32
136,X25519,56.18
137,X25519,50.21
138,X25519,67.14
139,X25519,88.32
140,X25519,58.41
141,X25519,55.93
142,X25519,56.87
143,X25519,61.76
144,X25519,59.45
145,X25519,61.88
146,X25519,58.47
147,X25519,85.81
148,X25519,67.68
149,X25519,75.38
150,X25519,58.35
151,X25519,55.10
152,X25519,69.91
153,X25519,57.29
154,X25519,55.26
155,X25519,55.49
156,X25519,86.88
157,X25519,58.21
158,X25519,77.27
159,X25519,60.23
160,X25519,55.71
161,X25519,66.26
162,X25519,58.80
163,X25519,49.93
164,X25519,50.68
165,X25519,55.08
166,X25519,69.54
167,X25519,56.97
168,X25519,56.05
169,X25519,54.43
170,X25519,65.11
171,X25519,54.39
172,X25519,60.54
173,X25519,63.69
174,X25519,62.68
175,X25519,60.08
176,X25519,60.50
177,X25519,60.27
178,X25519,57.33
179,X25519,61.06
180,X25519,61.11
181,X25519,54.66
182,X25519,57.32
183,X25519,60.29
184,X25519,51.65
185,X25519,65.57
186,X25519,108.86
187,X25519,85.69
188,X25519,59.80
189,X25519,60.10
190,X25519,57.50
191,X25519,54.72
192,X25519,59.61
193,X25519,51.30
194,X25519,56.62
195,X25519,61.93
196,X25519,55.68
197,X25519,55.45
198,X25519,57.64
199,X25519,51.45
200,X25519,58.32
201,X25519,57.48
202,X25519,70.28
203,X25519,84.96
204,X25519,58.81
205,X25519,60.54
206,X25519,64.91
207,X25519,55.98
208,X25519,53.68
209,X25519,71.31
210,X25519,66.88
211,X25519,58.63
212,X25519,47.17
213,X25519,58.19
214,X25519,55.12
215,X25519,60.43
216,X25519,93.85
217,X25519,49.37
218,X25519,58.84
219,X25519,67.04
220,X25519,66.10
221,X25519,64.65
222,X25519,51.35
223,X25519,66.29
224,X25519,56.00
225,X25519,56.17
226,X25519,54.47
227,X25519,55.27
228,X25519,54.06
229,X25519,59.55
230,X25519,65.92
231,X25519,64.95
232,X25519,48.18
233,X25519,58.54
234,X25519,64.88
235,X25519,53.27
236,X25519,59.49
237,X25519,62.92
238,X25519,56.99
239,X25519,51.40
240,X25519,57.19
241,X25519,46.55
242,X25519,51.72
243,X25519,53.70
244,X25519,56.07
245,X25519,69.98
246,X25519,56.20
247,X25519,63.24
248,X25519,59.30
249,X25519,64.60
250,X25519,57.81
251,X25519,61.10
252,X25519,73.03
253,X25519,61.20
254,X25519,48.38
255,X25519,50.53
256,X25519,51.35
257,X25519,55.06
258,X25519,59.36
259,X25519,92.32
260,X25519,53.39
261,X25519,70.21
262,X25519,60.07
263,X25519,61.10
264,X25519,50.83
265,X25519,52.71
266,X25519,54.94
267,X25519,85.53
268,X25519,67.91
269,X25519,57.02
270,X25519,52.63
271,X25519,57.88
272,X25519,57.40
273,X25519,60.50
274,X25519,59.94
275,X25519,64.38
276,X25519,82.60
277,X25519,52.63
278,X25519,70.73
279,X25519,63.14
280,X25519,59.73
281,X25519,68.79
282,X25519,68.61
283,X25519,57.66
284,X25519,50.76
285,X25519,54.27
286,X25519,53.94
287,X25519,67.37
288,X25519,90.92
289,X25519,61.41
290,X25519,52.22
291,X25519,57.87
292,X25519,64.09
293,X25519,60.82
294,X25519,57.73
295,X25519,53.31
296,X25519,78.72
297,X25519,51.15
298,X25519,52.96
299,X25519,58.19
300,X25519,59.28
301,X25519,65.37
302,X25519,82.85
303,X25519,56.59
304,X25519,50.62
305,X25519,58.42
306,X25519,60.90
307,X25519,67.49
308,X25519,65.98
309,X25519,61.99
310,X25519,60.49
311,X25519,52.90
312,X25519,52.09
313,X25519,66.08
314,X25519,59.22
315,X25519,60.29
316,X25519,52.76
317,X25519,65.99
318,X25519,49.10
319,X25519,69.42
320,X25519,50.04
321,X25519,62.40
322,X25519,51.56
323,X25519,62.54
324,X25519,61.06
325,X25519,55.04
326,X25519,55.18
327,X25519,51.81
328,X25519,59.72
329,X25519,66.45
330,X25519,67.43
331,X25519,63.42
332,X25519,53.19
333,X25519,69.74
334,X25519,51.66
335,X25519,63.67
336,X25519,82.74
337,X25519,64.41
338,X25519,67.03
339,X25519,58.35
340,X25519,47.87
341,X25519,49.12
342,X25519,58.76
343,X25519,58.32
344,X25519,61.47
345,X25519,55.57
346,X25519,67.06
347,X25519,61.36
348,X25519,70.41
349,X25519,83.98
350,X25519,50.30
351,X25519,54.09
352,X25519,68.59
353,X25519,65.93
354,X25519,57.35
355,X25519,64.04
356,X25519,65.44
357,X25519,67.00
358,X25519,69.55
359,X25519,62.65
360,X25519,56.07
361,X25519,57.15
362,X25519,67.76
363,X25519,61.45
364,X25519,63.31
365,X25519,70.26
366,X25519,62.90
367,X25519,53.92
368,X25519,53.42
369,X25519,53.98
370,X25519,58.78
371,X25519,66.37
372,X25519,75.07
373,X25519,73.36
374,X25519,56.44
375,X25519,62.71
376,X25519,57.99
377,X25519,59.13
378,X25519,67.05
379,X25519,71.91
380,X25519,61.44
381,X25519,50.53
382,X25519,63.38
383,X25519,50.49
384,X25519,56.12
385,X25519,86.13
386,X25519,104.03
387,X25519,54.30
388,X25519,63.91
389,X25519,62.80
390,X25519,72.57
391,X25519,70.61
392,X25519,56.87
393,X25519,64.62
394,X25519,91.62
395,X25519,58.61
396,X25519,56.70
397,X25519,54.52
398,X25519,53.15
399,X25519,78.75
400,X25519,54.02
401,X25519,62.34
402,X25519,68.14
403,X25519,54.11
404,X25519,52.50
405,X25519,58.41
406,X25519,57.71
407,X25519,63.91
408,X25519,62.36
409,X25519,55.44
410,X25519,48.86
411,X25519,49.03
412,X25519,56.44
413,X25519,56.55
414,X25519,64.96
415,X25519,65.97
416,X25519,58.94
417,X25519,95.66
418,X25519,55.26
419,X25519,55.43
420,X25519,66.41
421,X25519,64.06
422,X25519,57.61
423,X25519,81.61
424,X25519,53.69
425,X25519,52.31
426,X25519,55.26
427,X25519,62.78
428,X25519,107.82
429,X25519,56.21
430,X25519,59.22
431,X25519,61.09
432,X25519,59.10
433,X25519,66.58
434,X25519,65.32
435,X25519,54.38
436,X25519,52.93
437,X25519,54.78
438,X25519,58.56
439,X25519,53.21
440,X25519,61.97
441,X25519,68.38
442,X25519,69.50
443,X25519,55.72
444,X25519,64.36
445,X25519,58.06
446,X25519,60.01
447,X25519,63.70
448,X25519,56.90
449,X25519,69.97
450,X25519,57.85
451,X25519,61.89
452,X25519,56.44
453,X25519,50.56
454,X25519,57.38
455,X25519,52.91
456,X25519,69.44
457,X25519,50.00
458,X25519,61.65
459,X25519,53.03
460,X25519,54.92
461,X25519,54.57
462,X25519,56.84
463,X25519,64.39
464,X25519,92.79
465,X25519,63.00
466,X25519,52.00
467,X25519,53.49
468,X25519,53.98
469,X25519,54.56
470,X25519,70.98
471,X25519,79.66
472,X25519,60.08
473,X25519,66.03
474,X25519,48.06
475,X25519,86.27
476,X25519,55.90
477,X25519,64.74
478,X25519,64.24
479,X25519,51.27
480,X25519,54.45
481,X25519,72.44
482,X25519,55.47
483,X25519,57.07
484,X25519,52.53
485,X25519,52.77
486,X25519,62.66
487,X25519,67.53
488,X25519,58.49
489,X25519,75.44
490,X25519,54.34
491,X25519,68.95
492,X25519,65.99
493,X25519,52.83
494,X25519,66.64
495,X25519,64.47
496,X25519,57.40
497,X25519,60.63
498,X25519,55.83
499,X25519,67.26
500,X25519,67.55
501,X25519,60.71
502,X25519,69.09
503,X25519,71.48
504,X25519,59.30
505,X25519,76.88
506,X25519,58.20
507,X25519,57.25
508,X25519,57.63
509,X25519,52.70
510,X25519,64.08
511,X25519,59.21
512,X25519,50.05
513,X25519,61.75
514,X25519,52.07
515,X25519,54.11
516,X25519,67.00
517,X25519,57.69
518,X25519,69.75
519,X25519,61.25
520,X25519,59.72
521,X25519,58.47
522,X25519,55.60
523,X25519,61.24
524,X25519,57.57
525,X25519,54.76
526,X25519,60.03
527,X25519,62.71
528,X25519,56.34
529,X25519,71.74
530,X25519,58.34
531,X25519,62.12
532,X25519,49.54
533,X25519,68.62
534,X25519,62.00
535,X25519,55.82
536,X25519,57.93
537,X25519,57.82
538,X25519,57.22
539,X25519,66.44
540,X25519,61.04
541,X25519,83.70
542,X25519,61.02
543,X25519,61.42
544,X25519,60.72
545,X25519,53.36
546,X25519,60.24
547,X25519,57.44
548,X25519,60.61
549,X25519,84.84
550,X25519,51.42
551,X25519,61.12
552,X25519,49.26
553,X25519,58.01
554,X25519,56.40
555,X25519,63.81
556,X25519,55.73
557,X25519,53.21
558,X25519,70.90
559,X25519,60.96
560,X25519,71.44
561,X25519,64.18
562,X25519,68.70
563,X25519,63.31
564,X25519,49.77
565,X25519,60.62
566,X25519,53.59
567,X25519,58.45
568,X25519,58.73
569,X25519,61.60
570,X25519,82.75
571,X25519,58.51
572,X25519,69.11
573,X25519,70.63
574,X25519,61.57
575,X25519,61.90
576,X25519,85.69
577,X25519,74.63
578,X25519,80.80
579,X25519,56.86
580,X25519,63.17
581,X25519,59.48
582,X25519,55.84
583,X25519,73.35
584,X25519,54.15
585,X25519,61.26
586,X25519,56.18
587,X25519,52.25
588,X25519,50.16
589,X25519,63.11
590,X25519,52.67
591,X25519,77.86
592,X25519,89.65
593,X25519,56.66
594,X25519,53.02
595,X25519,55.10
596,X25519,54.53
597,X25519,58.78
598,X25519,67.61
599,X25519,59.50
600,X25519,62.06
601,X25519,53.83
602,X25519,55.88
603,X25519,56.31
604,X25519,50.77
605,X25519,56.91
606,X25519,68.90
607,X25519,50.44
608,X25519,61.17
609,X25519,53.91
610,X25519,49.71
611,X25519,64.91
612,X25519,55.58
613,X25519,71.76
614,X25519,65.29
615,X25519,66.46
616,X25519,51.19
617,X25519,53.87
618,X25519,65.26
619,X25519,58.54
620,X25519,60.84
621,X25519,55.22
622,X25519,52.32
623,X25519,54.69
624,X25519,53.34
625,X25519,59.14
626,X25519,64.76
627,X25519,68.34
628,X25519,60.23
629,X25519,56.68
630,X25519,62.69
631,X25519,60.98
632,X25519,51.48
633,X25519,48.32
634,X25519,67.66
635,X25519,68.04
636,X25519,59.71
637,X25519,57.98
638,X25519,58.57
639,X25519,54.98
640,X25519,59.07
641,X25519,58.73
642,X25519,77.33
643,X25519,71.48
644,X25519,52.48
645,X25519,68.23
646,X25519,53.67
647,X25519,71.77
648,X25519,73.10
649,X25519,69.07
650,X25519,54.32
651,X25519,57.55
652,X25519,56.59
653,X25519,50.12
654,X25519,64.75
655,X25519,54.26
656,X25519,73.33
657,X25519,56.80
658,X25519,61.07
659,X25519,51.84
660,X25519,49.40
661,X25519,56.96
662,X25519,53.29
663,X25519,58.75
664,X25519,57.84
665,X25519,49.77
666,X25519,60.79
667,X25519,52.62
668,X25519,67.49
669,X25519,54.46
670,X25519,51.32
671,X25519,64.93
672,X25519,66.12
673,X25519,67.58
674,X25519,51.01
