id,group,latency_ms
1,bikel1,42.43
2,bikel1,38.36
3,bikel1,54.39
4,bikel1,42.04
5,bikel1,39.90
6,bikel1,48.41
7,bikel1,58.21
8,bikel1,40.66
9,bikel1,47.27
10,bikel1,47.97
11,bikel1,52.96
12,bikel1,45.83
13,bikel1,71.97
14,bikel1,35.79
15,bikel1,42.00
16,bikel1,44.86
17,bikel1,40.12
18,bikel1,45.68
19,bikel1,52.21
20,bikel1,56.65
21,bikel1,50.14
22,bikel1,47.87
23,bikel1,45.14
24,bikel1,46.77
25,bikel1,50.90
26,bikel1,48.45
27,bikel1,59.25
28,bikel1,60.96
29,bikel1,54.37
30,bikel1,61.06
31,bikel1,42.22
32,bikel1,45.33
33,bikel1,61.48
34,bikel1,56.48
35,bikel1,61.67
36,bikel1,46.88
37,bikel1,62.80
38,bikel1,59.91
39,bikel1,68.57
40,bikel1,52.68
41,bikel1,49.23
42,bikel1,58.05
43,bikel1,42.97
44,bikel1,56.64
45,bikel1,53.66
46,bikel1,50.44
47,bikel1,43.39
48,bikel1,41.25
49,bikel1,53.10
50,bikel1,40.59
51,bikel1,44.33
52,bikel1,54.57
53,bikel1,51.44
54,bikel1,40.00
55,bikel1,53.48
56,bikel1,69.22
57,bikel1,54.36
58,bikel1,60.87
59,bikel1,45.13
60,bikel1,43.18
61,bikel1,48.38
62,bikel1,59.62
63,bikel1,67.16
64,bikel1,39.56
65,bikel1,62.64
66,bikel1,41.45
67,bikel1,62.17
68,bikel1,68.58
69,bikel1,56.29
70,bikel1,63.44
71,bikel1,79.26
72,bikel1,63.70
73,bikel1,42.93
74,bikel1,46.29
75,bikel1,40.08
76,bikel1,51.77
77,bikel1,49.78
78,bikel1,49.28
79,bikel1,40.06
80,bikel1,66.81
81,bikel1,47.71
82,bikel1,51.49
83,bikel1,45.37
84,bikel1,58.25
85,bikel1,51.03
86,bikel1,54.27
87,bikel1,44.75
88,bikel1,67.72
89,bikel1,38.49
90,bikel1,48.68
91,bikel1,51.83
92,bikel1,40.87
93,bikel1,40.87
94,bikel1,38.26
95,bikel1,51.51
96,bikel1,42.43
97,bikel1,68.39
98,bikel1,55.56
99,bikel1,56.18
100,bikel1,41.88
101,bikel1,51.71
102,bikel1,42.99
103,bikel1,43.61
104,bikel1,49.73
105,bikel1,46.77
106,bikel1,41.66
107,bikel1,51.40
108,bikel1,45.70
109,bikel1,37.25
110,bikel1,35.19
111,bikel1,56.45
112,bikel1,38.69
113,bikel1,41.19
114,bikel1,51.90
115,bikel1,42.53
116,bikel1,50.04
117,bikel1,68.56
118,bikel1,53.19
119,bikel1,51.25
120,bikel1,45.18
121,bikel1,57.56
122,bikel1,49.40
123,bikel1,54.53
124,bikel1,44.63
125,bikel1,48.89
126,bikel1,60.50
127,bikel1,53.68
128,bikel1,47.09
129,bikel1,46.74
130,bikel1,37.85
131,bikel1,47.45
132,bikel1,48.48
133,bikel1,68.38
134,bikel1,47.95
135,bikel1,36.23
136,bikel1,57.44
137,bikel1,59.34
138,bikel1,49.67
139,bikel1,56.21
140,bikel1,59.15
141,bikel1,51.20
142,bikel1,47.10
143,bikel1,38.14
144,bikel1,51.54
145,bikel1,49.07
146,bikel1,53.93
147,bikel1,47.51
148,bikel1,45.15
149,bikel1,65.27
150,bikel1,51.62
151,bikel1,46.45
152,bikel1,61.29
153,bikel1,43.46
154,bikel1,68.06
155,bikel1,43.57
156,bikel1,100.28
157,bikel1,55.00
158,bikel1,60.13
159,bikel1,63.88
160,bikel1,59.12
161,bikel1,55.87
162,bikel1,56.38
163,bikel1,54.52
164,bikel1,73.62
165,bikel1,48.70
166,bikel1,58.89
167,bikel1,59.10
168,bikel1,40.98
169,bikel1,42.38
170,bikel1,43.45
171,bikel1,58.25
172,bikel1,38.31
173,bikel1,36.72
174,bikel1,34.62
175,bikel1,67.60
176,bikel1,43.59
177,bikel1,72.28
178,bikel1,49.19
179,bikel1,38.95
180,bikel1,56.97
181,bikel1,63.46
182,bikel1,44.12
183,bikel1,39.17
184,bikel1,32.62
185,bikel1,56.08
186,bikel1,45.26
187,bikel1,62.06
188,bikel1,36.15
189,bikel1,46.80
190,bikel1,46.80
191,bikel1,52.80
192,bikel1,59.14
193,bikel1,48.94
194,bikel1,42.68
195,bikel1,44.34
196,bikel1,47.71
197,bikel1,51.58
198,bikel1,46.44
199,bikel1,57.41
200,bikel1,36.03
201,bikel1,41.79
202,bikel1,46.34
203,bikel1,35.04
204,bikel1,47.15
205,bikel1,41.09
206,bikel1,45.28
207,bikel1,55.64
208,bikel1,40.00
209,bikel1,59.31
210,bikel1,60.85
211,bikel1,54.67
212,bikel1,47.32
213,bikel1,88.24
214,bikel1,69.62
215,bikel1,39.21
216,bikel1,41.21
217,bikel1,65.81
218,bikel1,39.84
219,bikel1,46.26
220,bikel1,45.03
221,bikel1,37.20
222,bikel1,44.84
223,bikel1,53.75
224,bikel1,74.27
225,bikel1,73.32
226,bikel1,44.57
227,bikel1,67.11
228,bikel1,44.48
229,bikel1,55.60
230,bikel1,54.59
231,bikel1,46.51
232,bikel1,47.97
233,bikel1,55.52
234,bikel1,47.33
235,bikel1,34.27
236,bikel1,54.05
237,bikel1,54.86
238,bikel1,45.08
239,bikel1,41.21
240,bikel1,41.53
241,bikel1,68.31
242,bikel1,56.37
243,bikel1,44.45
244,bikel1,46.45
245,bikel1,49.14
246,bikel1,48.54
247,bikel1,41.91
248,bikel1,41.66
249,bikel1,49.72
250,bikel1,42.34
251,bikel1,42.98
252,bikel1,34.92
253,bikel1,50.63
254,bikel1,48.43
255,bikel1,43.04
256,bikel1,65.43
257,bikel1,42.07
258,bikel1,44.86
259,bikel1,58.13
260,bikel1,67.30
261,bikel1,59.28
262,bikel1,51.13
263,bikel1,66.23
264,bikel1,53.01
265,bikel1,49.30
266,bikel1,41.26
267,bikel1,49.74
268,bikel1,36.52
269,bikel1,43.48
270,bikel1,49.51
271,bikel1,58.17
272,bikel1,55.57
273,bikel1,69.41
274,bikel1,40.92
275,bikel1,41.97
276,bikel1,49.87
277,bikel1,42.87
278,bikel1,40.03
279,bikel1,53.03
280,bikel1,34.82
281,bikel1,53.52
282,bikel1,61.60
283,bikel1,61.28
284,bikel1,68.30
285,bikel1,40.10
286,bikel1,59.43
287,bikel1,42.70
288,bikel1,64.37
289,bikel1,61.83
290,bikel1,54.86
291,bikel1,62.50
292,bikel1,46.64
293,bikel1,39.24
294,bikel1,56.36
295,bikel1,38.12
296,bikel1,49.54
297,bikel1,34.02
298,bikel1,50.56
299,bikel1,46.21
300,bikel1,42.25
301,bikel1,42.76
302,bikel1,45.33
303,bikel1,42.82
304,bikel1,37.19
305,bikel1,39.33
306,bikel1,60.62
307,bikel1,58.84
308,bikel1,38.67
309,bikel1,49.67
310,bikel1,41.21
311,bikel1,39.81
312,bikel1,39.68
313,bikel1,44.71
314,bikel1,60.27
315,bikel1,46.70
316,bikel1,52.76
317,bikel1,46.37
318,bikel1,53.49
319,bikel1,36.38
320,bikel1,59.39
321,bikel1,40.42
322,bikel1,50.44
323,bikel1,66.46
324,bikel1,39.52
325,bikel1,60.30
326,bikel1,46.33
327,bikel1,34.28
328,bikel1,62.85
329,bikel1,53.67
330,bikel1,52.02
331,bikel1,37.92
332,bikel1,48.41
333,bikel1,35.97
334,bikel1,45.45
335,bikel1,45.86
336,bikel1,47.28
337,bikel1,39.18
338,bikel1,45.59
339,bikel1,38.17
340,bikel1,67.71
341,bikel1,56.86
342,bikel1,48.51
343,bikel1,46.06
344,bikel1,37.25
345,bikel1,41.47
346,bikel1,56.76
347,bikel1,48.14
348,bikel1,32.61
349,bikel1,48.63
350,bikel1,32.97
351,bikel1,37.65
352,bikel1,48.47
353,bikel1,52.91
354,bikel1,47.12
355,bikel1,47.22
356,bikel1,39.75
357,bikel1,47.90
358,bikel1,50.32
359,bikel1,49.89
360,bikel1,48.78
361,bikel1,39.15
362,bikel1,43.42
363,bikel1,41.86
364,bikel1,38.48
365,bikel1,77.94
366,bikel1,37.47
367,bikel1,58.20
368,bikel1,40.10
369,bikel1,35.05
370,bikel1,48.46
371,bikel1,53.10
372,bikel1,55.33
373,bikel1,59.92
374,bikel1,45.05
375,bikel1,49.02
376,bikel1,61.97
377,bikel1,62.57
378,bikel1,38.68
379,bikel1,41.97
380,bikel1,44.89
381,bikel1,54.32
382,bikel1,51.17
383,bikel1,48.04
384,bikel1,44.25
385,bikel1,40.40
386,bikel1,55.58
387,bikel1,50.00
388,bikel1,46.20
389,bikel1,40.24
390,bikel1,37.35
391,bikel1,42.49
392,bikel1,59.96
393,bikel1,44.62
394,bikel1,45.73
395,bikel1,59.66
396,bikel1,44.27
397,bikel1,64.10
398,bikel1,51.84
399,bikel1,36.30
400,bikel1,44.58
401,bikel1,47.58
402,bikel1,45.87
403,bikel1,43.59
404,bikel1,58.44
405,bikel1,72.59
406,bikel1,41.53
407,bikel1,41.63
408,bikel1,71.93
409,bikel1,50.45
410,bikel1,48.46
411,bikel1,46.80
412,bikel1,34.61
413,bikel1,43.75
414,bikel1,69.94
415,bikel1,37.53
416,bikel1,46.39
417,bikel1,34.99
418,bikel1,52.27
419,bikel1,46.77
420,bikel1,40.74
421,bikel1,44.53
422,bikel1,45.07
423,bikel1,43.02
424,bikel1,59.36
425,bikel1,34.05
426,bikel1,53.77
427,bikel1,45.49
428,bikel1,44.72
429,bikel1,49.60
430,bikel1,46.04
431,bikel1,50.88
432,bikel1,34.70
433,bikel1,47.54
434,bikel1,47.25
435,bikel1,70.15
436,bikel1,43.56
437,bikel1,38.35
438,bikel1,54.45
439,bikel1,40.88
440,bikel1,53.62
441,bikel1,59.34
442,bikel1,41.60
443,bikel1,53.05
444,bikel1,46.16
445,bikel1,37.81
446,bikel1,49.56
447,bikel1,41.87
448,bikel1,62.51
449,bikel1,33.75
450,bikel1,51.03
451,bikel1,47.38
452,bikel1,48.98
453,bikel1,48.88
454,bikel1,73.91
455,bikel1,45.76
456,bikel1,47.72
457,bikel1,48.71
458,bikel1,53.68
459,bikel1,47.67
460,bikel1,36.32
461,bikel1,35.33
462,bikel1,39.77
463,bikel1,62.71
464,bikel1,49.38
465,bikel1,51.30
466,bikel1,55.12
467,bikel1,37.40
468,bikel1,51.56
469,bikel1,47.92
470,bikel1,41.67
471,bikel1,46.37
472,bikel1,45.15
473,bikel1,58.15
474,bikel1,36.68
475,bikel1,39.35
476,bikel1,35.39
477,bikel1,39.76
478,bikel1,46.16
479,bikel1,50.93
480,bikel1,35.16
481,bikel1,54.16
482,bikel1,56.66
483,bikel1,50.75
484,bikel1,36.57
485,bikel1,44.80
486,bikel1,39.91
487,bikel1,49.07
488,bikel1,43.42
489,bikel1,43.54
490,bikel1,47.50
491,bikel1,41.59
492,bikel1,46.95
493,bikel1,51.92
494,bikel1,46.10
495,bikel1,51.69
496,bikel1,44.40
497,bikel1,51.37
498,bikel1,69.55
499,bikel1,37.25
500,bikel1,44.31
501,bikel1,46.04
502,bikel1,45.37
503,bikel1,34.33
504,bikel1,39.09
505,bikel1,40.84
506,bikel1,40.82
507,bikel1,41.01
508,bikel1,45.69
509,bikel1,56.11
510,bikel1,46.15
511,bikel1,74.23
512,bikel1,45.98
513,bikel1,65.68
514,bikel1,47.69
515,bikel1,64.11
516,bikel1,47.16
517,bikel1,44.40
518,bikel1,37.91
519,bikel1,44.40
520,bikel1,38.08
521,bikel1,55.13
522,bikel1,37.54
523,bikel1,47.28
524,bikel1,79.58
525,bikel1,46.61
526,bikel1,73.47
527,bikel1,51.28
528,bikel1,49.38
529,bikel1,42.65
530,bikel1,76.15
531,bikel1,50.50
532,bikel1,74.53
533,bikel1,47.66
534,bikel1,38.30
535,bikel1,35.98
536,bikel1,40.99
537,bikel1,44.61
538,bikel1,51.20
539,bikel1,43.68
540,bikel1,45.71
541,bikel1,38.31
542,bikel1,55.56
543,bikel1,40.75
544,bikel1,52.74
545,bikel1,42.96
546,bikel1,43.93
547,bikel1,45.54
548,bikel1,59.23
549,bikel1,47.78
550,bikel1,46.47
551,bikel1,46.67
552,bikel1,63.13
553,bikel1,55.02
554,bikel1,37.51
555,bikel1,47.42
556,bikel1,50.53
557,bikel1,63.39
558,bikel1,48.54
559,bikel1,45.94
560,bikel1,53.99
561,bikel1,41.77
562,bikel1,42.26
563,bikel1,41.96
564,bikel1,58.68
565,bikel1,41.54
566,bikel1,51.49
567,bikel1,44.31
568,bikel1,41.02
569,bikel1,45.31
570,bikel1,43.48
571,bikel1,42.52
572,bikel1,47.90
573,bikel1,50.09
574,bikel1,57.82
575,bikel1,59.89
576,bikel1,43.31
577,bikel1,39.60
578,bikel1,48.77
579,bikel1,55.37
580,bikel1,38.50
581,bikel1,45.82
582,bikel1,51.75
583,bikel1,41.72
584,bikel1,40.24
585,bikel1,37.44
586,bikel1,41.09
587,bikel1,35.56
588,bikel1,50.75
589,bikel1,44.48
590,bikel1,59.31
591,bikel1,55.41
592,bikel1,52.98
593,bikel1,73.44
594,bikel1,39.84
595,bikel1,44.19
596,bikel1,45.96
597,bikel1,53.65
598,bikel1,41.57
599,bikel1,54.62
600,bikel1,37.13
601,bikel1,47.34
602,bikel1,51.00
603,bikel1,42.48
604,bikel1,42.33
605,bikel1,50.88
606,bikel1,77.58
607,bikel1,46.92
608,bikel1,51.47
609,bikel1,49.82
610,bikel1,55.22
611,bikel1,46.40
612,bikel1,45.08
613,bikel1,56.54
614,bikel1,54.37
615,bikel1,42.31
616,bikel1,49.08
617,bikel1,34.15
618,bikel1,37.49
619,bikel1,54.38
620,bikel1,50.33
621,bikel1,67.99
622,bikel1,50.70
623,bikel1,60.75
624,bikel1,67.78
625,bikel1,41.70
626,bikel1,47.88
627,bikel1,38.90
628,bikel1,42.16
629,bikel1,46.67
630,bikel1,43.72
631,bikel1,46.11
632,bikel1,42.65
633,bikel1,42.76
634,bikel1,35.90
635,bikel1,51.73
636,bikel1,62.01
637,bikel1,39.95
638,bikel1,47.18
639,bikel1,52.97
640,bikel1,49.03
641,bikel1,52.29
642,bikel1,47.11
643,bikel1,66.02
644,bikel1,45.46
645,bikel1,46.68
646,bikel1,49.13
647,bikel1,43.99
648,bikel1,49.70
649,bikel1,45.64
650,bikel1,35.71
651,bikel1,40.14
652,bikel1,50.55
653,bikel1,39.35
654,bikel1,53.50
655,bikel1,56.73
656,bikel1,47.55
657,bikel1,41.11
658,bikel1,42.57
659,bikel1,37.89
660,bikel1,35.79
661,bikel1,38.93
662,bikel1,39.49
663,bikel1,51.75
664,bikel1,47.95
665,bikel1,52.57
666,bikel1,34.00
667,bikel1,54.58
668,bikel1,38.26
669,bikel1,43.07
670,bikel1,38.83
671,bikel1,47.90
672,bikel1,47.05
673,bikel1,46.15
674,bikel1,69.13
675,bikel1,39.34
676,bikel1,53.13
677,bikel1,49.18
678,bikel1,45.87
679,bikel1,46.26
680,bikel1,40.32
681,bikel1,54.96
682,bikel1,53.61
683,bikel1,47.06
684,bikel1,46.57
685,bikel1,46.66
686,bikel1,40.39
687,bikel1,50.39
688,bikel1,41.39
689,bikel1,41.58
690,bikel1,47.72
691,bikel1,46.94
692,bikel1,56.98
693,bikel1,43.52
694,bikel1,43.67
695,bikel1,45.12
696,bikel1,45.73
697,bikel1,43.02
698,bikel1,55.68
699,bikel1,58.38
700,bikel1,35.54
701,bikel1,51.81
702,bikel1,34.38
703,bikel1,41.08
704,bikel1,47.91
705,bikel1,37.42
706,bikel1,51.59
707,bikel1,48.73
708,bikel1,53.34
709,bikel1,52.33
710,bikel1,44.11
711,bikel1,50.74
712,bikel1,47.83
713,bikel1,37.23
714,bikel1,51.04
715,bikel1,68.30
716,bikel1,55.62
717,bikel1,49.55
718,bikel1,43.33
719,bikel1,48.79
720,bikel1,54.90
721,bikel1,60.98
722,bikel1,78.03
723,bikel1,61.26
724,bikel1,45.93
725,bikel1,56.28
726,bikel1,46.68
727,bikel1,51.54
728,bikel1,45.02
729,bikel1,36.79
730,bikel1,54.55
731,bikel1,50.86
732,bikel1,41.65
733,bikel1,42.22
734,bikel1,44.14
735,bikel1,43.08
736,bikel1,51.99
737,bikel1,41.90
738,bikel1,54.22
739,bikel1,55.77
740,bikel1,40.55
741,bikel1,49.79
742,bikel1,39.60
743,bikel1,53.21
744,bikel1,46.93
745,bikel1,49.52
746,bikel1,43.76
747,bikel1,44.02
748,bikel1,56.64
749,bikel1,34.38
750,bikel1,38.35
751,bikel1,39.07
752,bikel1,44.62
753,bikel1,74.99
754,bikel1,48.08
755,bikel1,38.96
756,bikel1,60.21
757,bikel1,100.57
758,bikel1,37.94
759,bikel1,51.33
760,bikel1,53.26
761,bikel1,45.98
762,bikel1,33.18
763,bikel1,47.19
764,bikel1,36.16
765,bikel1,60.62
766,bikel1,38.47
767,bikel1,51.17
768,bikel1,45.62
769,bikel1,35.58
770,bikel1,53.50
771,bikel1,47.76
772,bikel1,45.10
773,bikel1,36.88
774,bikel1,55.77
775,bikel1,47.43
776,bikel1,43.58
777,bikel1,46.52
778,bikel1,43.30
779,bikel1,50.88
780,bikel1,54.18
781,bikel1,53.27
782,bikel1,50.99
783,bikel1,36.21
784,bikel1,56.82
785,bikel1,56.04
786,bikel1,44.49
787,bikel1,38.82
788,bikel1,40.14
789,bikel1,51.49
790,bikel1,58.18
791,bikel1,75.70
792,bikel1,71.90
793,bikel1,48.43
794,bikel1,56.69
795,bikel1,46.95
796,bikel1,54.20
797,bikel1,56.23
798,bikel1,36.89
799,bikel1,64.76
800,bikel1,62.64
801,bikel1,57.95
