id,group,latency_ms
1,bikel1,12.00
2,bikel1,17.85
3,bikel1,17.18
4,bikel1,20.50
5,bikel1,18.60
6,bikel1,25.75
7,bikel1,16.80
8,bikel1,25.66
9,bikel1,14.78
10,bikel1,23.99
11,bikel1,17.07
12,bikel1,14.41
13,bikel1,21.53
14,bikel1,23.44
15,bikel1,18.68
16,bikel1,17.20
17,bikel1,19.46
18,bikel1,18.35
19,bikel1,18.74
20,bikel1,20.78
21,bikel1,19.86
22,bikel1,20.30
23,bikel1,22.94
24,bikel1,15.61
25,bikel1,22.04
26,bikel1,20.33
27,bikel1,17.78
28,bikel1,17.08
29,bikel1,17.79
30,bikel1,28.88
31,bikel1,12.94
32,bikel1,15.47
33,bikel1,16.56
34,bikel1,24.32
35,bikel1,12.44
36,bikel1,26.79
37,bikel1,15.25
38,bikel1,35.32
39,bikel1,18.47
40,bikel1,20.66
41,bikel1,27.86
42,bikel1,21.89
43,bikel1,25.12
44,bikel1,14.12
45,bikel1,20.49
46,bikel1,13.53
47,bikel1,25.79
48,bikel1,24.09
49,bikel1,22.47
50,bikel1,18.91
51,bikel1,26.05
52,bikel1,14.94
53,bikel1,20.15
54,bikel1,19.11
55,bikel1,18.95
56,bikel1,21.64
57,bikel1,15.52
58,bikel1,35.33
59,bikel1,14.85
60,bikel1,14.25
61,bikel1,24.95
62,bikel1,16.25
63,bikel1,15.10
64,bikel1,21.37
65,bikel1,19.84
66,bikel1,23.37
67,bikel1,16.74
68,bikel1,30.37
69,bikel1,23.58
70,bikel1,20.75
71,bikel1,24.59
72,bikel1,20.42
73,bikel1,21.77
74,bikel1,22.04
75,bikel1,14.87
76,bikel1,25.60
77,bikel1,18.85
78,bikel1,39.40
79,bikel1,14.06
80,bikel1,20.63
81,bikel1,24.35
82,bikel1,17.76
83,bikel1,18.77
84,bikel1,12.81
85,bikel1,15.95
86,bikel1,18.05
87,bikel1,20.25
88,bikel1,18.49
89,bikel1,18.80
90,bikel1,14.52
91,bikel1,17.30
92,bikel1,20.49
93,bikel1,26.78
94,bikel1,23.83
95,bikel1,35.93
96,bikel1,17.59
97,bikel1,29.13
98,bikel1,24.07
99,bikel1,22.37
100,bikel1,30.25
101,bikel1,30.98
102,bikel1,19.77
103,bikel1,19.10
104,bikel1,16.00
105,bikel1,14.40
106,bikel1,24.62
107,bikel1,12.59
108,bikel1,25.03
109,bikel1,16.48
110,bikel1,32.72
111,bikel1,21.92
112,bikel1,25.52
113,bikel1,26.88
114,bikel1,19.43
115,bikel1,27.61
116,bikel1,23.68
117,bikel1,26.37
118,bikel1,25.69
119,bikel1,16.22
120,bikel1,18.86
121,bikel1,10.13
122,bikel1,17.68
123,bikel1,24.64
124,bikel1,25.57
125,bikel1,31.28
126,bikel1,23.43
127,bikel1,17.94
128,bikel1,31.62
129,bikel1,22.54
130,bikel1,15.22
131,bikel1,18.72
132,bikel1,18.89
133,bikel1,22.58
